original,gt_full,gt_seg,gt_punc,pred_full,pred_seg,pred_punc,seg_f1,punc_f1,punc_and_seg_f1,fidelity,osc
薛宰曰“薛之皇祖奚仲居薛以為夏車正奚仲遷于邳仲虺居薛以為湯左相若復舊職將承王官何故以役諸侯”,薛宰 曰 ： “ 薛 之 皇祖奚仲 居 薛 ， 以 為 夏車正 ， 奚仲 遷 于 邳 ， 仲虺 居 薛 ， 以 為 湯左相 。 若 復 舊職 ， 將 承 王官 ， 何 故 以 役 諸侯 ？ ”,薛宰 曰  “ 薛 之 皇祖奚仲 居 薛  以 為 夏車正  奚仲 遷 于 邳  仲虺 居 薛  以 為 湯左相  若 復 舊職  將 承 王官  何 故 以 役 諸侯  ”,薛宰曰：“薛之皇祖奚仲居薛，以為夏車正，奚仲遷于邳，仲虺居薛，以為湯左相。若復舊職，將承王官，何故以役諸侯？”,薛 宰 曰 ： “ 薛 之 皇祖 奚仲 居 薛以 ， 為 夏 車正 。 奚仲 遷 于邳  ， 仲虺 居 薛以 ， 為 湯 左相 。 若 復 舊職 ， 將 承 王 官 ， 何 故 以 役 諸侯 ？ ”,薛 宰 曰  “ 薛 之 皇祖 奚仲 居 薛以  為 夏 車正  奚仲 遷 于邳   仲虺 居 薛以  為 湯 左相  若 復 舊職  將 承 王 官  何 故 以 役 諸侯  ”,薛宰曰：“薛之皇祖奚仲居薛以，為夏車正。奚仲遷于邳，仲虺居薛以，為湯左相。若復舊職，將承王官，何故以役諸侯？”,0.6470588235294118,0.6666666666666666,0.6470588235294118,1.0,0.43137254901960786
仲幾曰“三代各異物薛焉得有舊為宋役亦其職也”,仲幾 曰 ： “ 三代 各 異物 ， 薛 焉 得 有 舊 ？ 為 宋 役 ， 亦 其 職 也 。 ”,仲幾 曰  “ 三代 各 異物  薛 焉 得 有 舊  為 宋 役  亦 其 職 也  ”,仲幾曰：“三代各異物，薛焉得有舊？為宋役，亦其職也。”,仲幾 曰 ： “ 三 代 各 異 物 ， 薛 焉 得 有 舊 ？ 為 宋 役 ， 亦 其 職 也 。 ”,仲幾 曰  “ 三 代 各 異 物  薛 焉 得 有 舊  為 宋 役  亦 其 職 也  ”,仲幾曰：“三代各異物，薛焉得有舊？為宋役，亦其職也。”,0.8500000000000001,1.0,0.8500000000000001,1.0,0.8500000000000001
士彌牟曰“晉之從政者新子姑受功歸吾視諸故府”,士彌牟 曰 ： “ 晉 之 從政 者 新 ， 子 姑 受功 ， 歸 ， 吾 視 諸 故府 。 ”,士彌牟 曰  “ 晉 之 從政 者 新  子 姑 受功  歸  吾 視 諸 故府  ”,士彌牟曰：“晉之從政者新，子姑受功，歸，吾視諸故府。”,士彌牟 曰 ： “ 晉 之 從 政 者 新 子 姑 受 功 歸 ， 吾 視 諸 故府 。 ”,士彌牟 曰  “ 晉 之 從 政 者 新 子 姑 受 功 歸  吾 視 諸 故府  ”,士彌牟曰：“晉之從政者新子姑受功歸，吾視諸故府。”,0.8333333333333333,0.7499999999999999,0.8333333333333333,1.0,0.6249999999999999
仲幾曰“縱子忘之山川鬼神其忘諸乎”,仲幾 曰 ： “ 縱 子 忘 之 ， 山川 鬼神 其 忘 諸 乎 ？ ”,仲幾 曰  “ 縱 子 忘 之  山川 鬼神 其 忘 諸 乎  ”,仲幾曰：“縱子忘之，山川鬼神其忘諸乎？”,仲幾 曰 ： “ 縱 子 忘 之 ， 山川 鬼神 其 忘 諸 乎 ？ ”,仲幾 曰  “ 縱 子 忘 之  山川 鬼神 其 忘 諸 乎  ”,仲幾曰：“縱子忘之，山川鬼神其忘諸乎？”,1.0,1.0,1.0,1.0,1.0
士伯怒謂韓簡子曰“薛徵於人宋徵於鬼宋罪大矣且己無辭而抑我以神誣我也‘啟寵納侮’其此之謂矣必以仲幾為戮”,士伯 怒 ， 謂 韓簡子 曰 ： “ 薛 徵 於 人 ， 宋 徵 於 鬼 。 宋 罪 大 矣 。 且 己 無辭 ， 而 抑 我 以 神 ， 誣 我 也 。 ‘ 啟 寵 納 侮 ’ ， 其 此 之 謂 矣 。 必 以 仲幾 為 戮 。 ”,士伯 怒  謂 韓簡子 曰  “ 薛 徵 於 人  宋 徵 於 鬼  宋 罪 大 矣  且 己 無辭  而 抑 我 以 神  誣 我 也  ‘ 啟 寵 納 侮 ’  其 此 之 謂 矣  必 以 仲幾 為 戮  ”,士伯怒，謂韓簡子曰：“薛徵於人，宋徵於鬼。宋罪大矣。且己無辭，而抑我以神，誣我也。‘啟寵納侮’，其此之謂矣。必以仲幾為戮。”,士伯 怒 ， 謂 韓簡子 曰 ： “ 薛 徵 於 人 ， 宋 徵 於 鬼 。 宋 罪 大 矣 ， 且 己 無 辭 ， 而 抑 我 以 神 ， 誣 我也 ‘ 啟寵 納侮 ’ ， 其 此 之 謂 矣 。 必 以 仲幾 為 戮 。 ”,士伯 怒  謂 韓簡子 曰  “ 薛 徵 於 人  宋 徵 於 鬼  宋 罪 大 矣  且 己 無 辭  而 抑 我 以 神  誣 我也 ‘ 啟寵 納侮 ’  其 此 之 謂 矣  必 以 仲幾 為 戮  ”,士伯怒，謂韓簡子曰：“薛徵於人，宋徵於鬼。宋罪大矣，且己無辭，而抑我以神，誣我也‘啟寵納侮’，其此之謂矣。必以仲幾為戮。”,0.8666666666666666,0.8571428571428572,0.8666666666666666,1.0,0.7428571428571429
乃執仲幾以歸,乃 執 仲幾 以 歸 。,乃 執 仲幾 以 歸 ,乃執仲幾以歸。,乃 執 仲幾 以 歸,乃 執 仲幾 以 歸,乃執仲幾以歸,1.0,0.0,1.0,1.0,0.0
三月歸諸京師,三月 ， 歸 諸 京師 。,三月  歸 諸 京師 ,三月，歸諸京師。,三月 ， 歸 諸 京師,三月  歸 諸 京師,三月，歸諸京師,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666
城三旬而畢乃歸諸侯之戍,城 三 旬 而 畢 ， 乃 歸 諸侯 之 戍 。,城 三 旬 而 畢  乃 歸 諸侯 之 戍 ,城三旬而畢，乃歸諸侯之戍。,城 三旬 而 畢 ， 乃 歸 諸侯 之 戍,城 三旬 而 畢  乃 歸 諸侯 之 戍,城三旬而畢，乃歸諸侯之戍,0.8421052631578948,0.6666666666666666,0.8421052631578948,1.0,0.5614035087719298
齊高張后不從諸侯,齊高張 后 ， 不 從 諸侯 。,齊高張 后  不 從 諸侯 ,齊高張后，不從諸侯。,齊 高張 后 不 從 諸侯,齊 高張 后 不 從 諸侯,齊高張后不從諸侯,0.7272727272727272,0.0,0.7272727272727272,1.0,0.0
晉女叔寬曰“周萇弘齊高張皆將不免萇叔違天高子違人天之所壞不可支也眾之所為不可奸也”,晉 女叔寬 曰 ： “ 周萇弘 、 齊高張 皆 將 不 免 。 萇叔 違 天 ， 高子 違 人 。 天 之 所 壞 ， 不 可 支 也 ； 眾 之 所 為 ， 不 可 奸 也 。 ”,晉 女叔寬 曰  “ 周萇弘  齊高張 皆 將 不 免  萇叔 違 天  高子 違 人  天 之 所 壞  不 可 支 也  眾 之 所 為  不 可 奸 也  ”,晉女叔寬曰：“周萇弘、齊高張皆將不免。萇叔違天，高子違人。天之所壞，不可支也；眾之所為，不可奸也。”,晉 女叔寬 曰 ： “ 周 萇弘 、 齊 高張 皆 將 不免 。 萇叔 違 天 ， 高子 違 人 。 天 之 所壞  ， 不可 支 也 ； 眾 之 所 為 ， 不可 奸 也 。 ”,晉 女叔寬 曰  “ 周 萇弘  齊 高張 皆 將 不免  萇叔 違 天  高子 違 人  天 之 所壞   不可 支 也  眾 之 所 為  不可 奸 也  ”,晉女叔寬曰：“周萇弘、齊高張皆將不免。萇叔違天，高子違人。天之所壞，不可支也；眾之所為，不可奸也。”,0.71875,1.0,0.71875,1.0,0.71875
夏叔孫成子逆公之喪于乾侯,夏 ， 叔孫成子 逆 公 之 喪 于 乾侯 。,夏  叔孫成子 逆 公 之 喪 于 乾侯 ,夏，叔孫成子逆公之喪于乾侯。,夏叔孫 成子 逆 公 之 喪 于 乾侯,夏叔孫 成子 逆 公 之 喪 于 乾侯,夏叔孫成子逆公之喪于乾侯,0.75,0.0,0.75,1.0,0.0
季孫曰“子家子亟言於我未嘗不中吾志也吾欲與之從政子必止之且聽命焉”,季孫 曰 ： “ 子家子 亟 言 於 我 ， 未嘗 不 中 吾 志 也 。 吾 欲 與 之 從政 ， 子 必 止 之 ， 且 聽命 焉 。 ”,季孫 曰  “ 子家子 亟 言 於 我  未嘗 不 中 吾 志 也  吾 欲 與 之 從政  子 必 止 之  且 聽命 焉  ”,季孫曰：“子家子亟言於我，未嘗不中吾志也。吾欲與之從政，子必止之，且聽命焉。”,季孫 曰 ： “ 子家子 亟 言 於 我 ， 未 嘗 不 中 吾 志 也 。 吾 欲 與 之 從 政 ， 子 必 止 之 ， 且 聽 命 焉 。 ”,季孫 曰  “ 子家子 亟 言 於 我  未 嘗 不 中 吾 志 也  吾 欲 與 之 從 政  子 必 止 之  且 聽 命 焉  ”,季孫曰：“子家子亟言於我，未嘗不中吾志也。吾欲與之從政，子必止之，且聽命焉。”,0.8421052631578948,1.0,0.8421052631578948,1.0,0.8421052631578948
子家子不見叔孫易几而哭,子家子 不 見 叔孫 ， 易 几 而 哭 。,子家子 不 見 叔孫  易 几 而 哭 ,子家子不見叔孫，易几而哭。,子家子 不 見 叔孫易 几 而 哭,子家子 不 見 叔孫易 几 而 哭,子家子不見叔孫易几而哭,0.7999999999999999,0.0,0.7999999999999999,1.0,0.0
叔孫請見子家子,叔孫 請 見 子家子 。,叔孫 請 見 子家子 ,叔孫請見子家子。,叔孫 請 見 子家子,叔孫 請 見 子家子,叔孫請見子家子,1.0,0.0,1.0,1.0,0.0
子家子辭曰“羈未得見而從君以出君不命而薨羈不敢見”,子家子 辭 曰 ： “ 羈 未 得 見 ， 而 從 君 以 出 。 君 不 命 而 薨 ， 羈 不敢 見 。 ”,子家子 辭 曰  “ 羈 未 得 見  而 從 君 以 出  君 不 命 而 薨  羈 不敢 見  ”,子家子辭曰：“羈未得見，而從君以出。君不命而薨，羈不敢見。”,子家子 辭 曰 ： “ 羈 未得 見 ， 而 從 君 以 出 。 君 不 命 而 薨 ， 羈 不 敢 見 。 ”,子家子 辭 曰  “ 羈 未得 見  而 從 君 以 出  君 不 命 而 薨  羈 不 敢 見  ”,子家子辭曰：“羈未得見，而從君以出。君不命而薨，羈不敢見。”,0.8636363636363636,1.0,0.8636363636363636,1.0,0.8636363636363636
叔孫使告之曰“公衍公為實使群臣不得事君若公子宋主社稷則群臣之愿也凡從君出而可以入者將唯子是聽子家氏未有後季孫愿與子從政此皆季孫之愿也使不敢以告”,叔孫 使 告 之 曰 ： “ 公衍 、 公為 實 使 群 臣 不 得 事 君 ， 若 公子宋 主 社稷 ， 則 群 臣 之 愿 也 。 凡 從 君 出 而 可以 入 者 ， 將 唯 子 是 聽 。 子家氏 未 有 後 ， 季孫 愿 與 子 從政 。 此 皆 季孫 之 愿 也 ， 使 不 敢 以 告 。 ”,叔孫 使 告 之 曰  “ 公衍  公為 實 使 群 臣 不 得 事 君  若 公子宋 主 社稷  則 群 臣 之 愿 也  凡 從 君 出 而 可以 入 者  將 唯 子 是 聽  子家氏 未 有 後  季孫 愿 與 子 從政  此 皆 季孫 之 愿 也  使 不 敢 以 告  ”,叔孫使告之曰：“公衍、公為實使群臣不得事君，若公子宋主社稷，則群臣之愿也。凡從君出而可以入者，將唯子是聽。子家氏未有後，季孫愿與子從政。此皆季孫之愿也，使不敢以告。”,叔孫 使 告 之 曰 ： “ 公衍 、 公為 實 使 群臣 不得 事 君 。 若 公子宋 主 社稷 ， 則群 臣 之 愿 也 。 凡 從 君 出 而 可以 入 者 ， 將 唯 子 是 聽 。 子家氏 未 有 後 ， 季孫 愿 與 子 從 政 ， 此 皆 季孫 之 愿 也 。 使 不 敢 以 告 。 ”,叔孫 使 告 之 曰  “ 公衍  公為 實 使 群臣 不得 事 君  若 公子宋 主 社稷  則群 臣 之 愿 也  凡 從 君 出 而 可以 入 者  將 唯 子 是 聽  子家氏 未 有 後  季孫 愿 與 子 從 政  此 皆 季孫 之 愿 也  使 不 敢 以 告  ”,叔孫使告之曰：“公衍、公為實使群臣不得事君。若公子宋主社稷，則群臣之愿也。凡從君出而可以入者，將唯子是聽。子家氏未有後，季孫愿與子從政，此皆季孫之愿也。使不敢以告。”,0.8983050847457628,0.7272727272727273,0.8983050847457628,1.0,0.6533127889060093
對曰“若立君則有卿士大夫與守龜在羈弗敢知若從君者則貌而出者入可也寇而出者行可也若羈也則君知其出也而未知其入也羈將逃也”,對 曰 ： “ 若 立 君 ， 則 有 卿士 、 大夫 與 守龜 在 ， 羈 弗 敢 知 。 若 從 君 者 ， 則 貌 而 出 者 ， 入 可 也 ； 寇 而 出 者 ， 行 可 也 。 若 羈 也 ， 則 君 知 其 出 也 ， 而 未 知 其 入 也 ， 羈 將 逃 也 。 ”,對 曰  “ 若 立 君  則 有 卿士  大夫 與 守龜 在  羈 弗 敢 知  若 從 君 者  則 貌 而 出 者  入 可 也  寇 而 出 者  行 可 也  若 羈 也  則 君 知 其 出 也  而 未 知 其 入 也  羈 將 逃 也  ”,對曰：“若立君，則有卿士、大夫與守龜在，羈弗敢知。若從君者，則貌而出者，入可也；寇而出者，行可也。若羈也，則君知其出也，而未知其入也，羈將逃也。”,對 曰 ： “ 若 立 君 ， 則 有 卿 、 士 、 大夫 與 守 龜 在 。 羈 弗 敢 知 。 若 從 君 者 ， 則 貌 而 出 者 入 可 也 ， 寇 而 出 者 行 可 也 。 若 羈 也 ， 則 君 知 其 出 也 ， 而 未 知 其 入 也 ， 羈 將 逃 也 。 ”,對 曰  “ 若 立 君  則 有 卿  士  大夫 與 守 龜 在  羈 弗 敢 知  若 從 君 者  則 貌 而 出 者 入 可 也  寇 而 出 者 行 可 也  若 羈 也  則 君 知 其 出 也  而 未 知 其 入 也  羈 將 逃 也  ”,對曰：“若立君，則有卿、士、大夫與守龜在。羈弗敢知。若從君者，則貌而出者入可也，寇而出者行可也。若羈也，則君知其出也，而未知其入也，羈將逃也。”,0.9473684210526316,0.7407407407407408,0.9473684210526316,1.0,0.7017543859649124
喪及壞隤公子宋先入從公者皆自壞隤反,喪 及 壞隤 ， 公子宋 先 入 ， 從 公 者 皆 自 壞隤 反 。,喪 及 壞隤  公子宋 先 入  從 公 者 皆 自 壞隤 反 ,喪及壞隤，公子宋先入，從公者皆自壞隤反。,喪 及 壞 隤 ， 公子宋 先 入 ， 從 公 者 皆 自 壞 隤 反,喪 及 壞 隤  公子宋 先 入  從 公 者 皆 自 壞 隤 反,喪及壞隤，公子宋先入，從公者皆自壞隤反,0.7857142857142856,0.8,0.7857142857142856,1.0,0.6285714285714286
六月癸亥公之喪至自乾侯,六月癸亥 ， 公 之 喪 至 自 乾侯 。,六月癸亥  公 之 喪 至 自 乾侯 ,六月癸亥，公之喪至自乾侯。,六月 癸亥 ， 公 之 喪 至 自 乾侯,六月 癸亥  公 之 喪 至 自 乾侯,六月癸亥，公之喪至自乾侯,0.7999999999999999,0.6666666666666666,0.7999999999999999,1.0,0.5333333333333332
戊辰公即位,戊辰 ， 公 即位 。,戊辰  公 即位 ,戊辰，公即位。,戊辰 ， 公 即位,戊辰  公 即位,戊辰，公即位,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666
季孫使役如闞公氏將溝焉,季孫 使 役 如 闞公氏 ， 將 溝 焉 。,季孫 使 役 如 闞公氏  將 溝 焉 ,季孫使役如闞公氏，將溝焉。,季孫 使 役 如 闞公氏 ， 將 溝 焉,季孫 使 役 如 闞公氏  將 溝 焉,季孫使役如闞公氏，將溝焉,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666
榮駕鵝曰“生不能事死又離之以自旌也縱子忍之後必或恥之”,榮駕鵝 曰 ： “ 生 不 能 事 ， 死 又 離 之 ， 以 自 旌 也 。 縱 子 忍 之 ， 後 必 或 恥 之 。 ”,榮駕鵝 曰  “ 生 不 能 事  死 又 離 之  以 自 旌 也  縱 子 忍 之  後 必 或 恥 之  ”,榮駕鵝曰：“生不能事，死又離之，以自旌也。縱子忍之，後必或恥之。”,榮駕 鵝 曰 ： “ 生 不 能 事 死 ， 又 離 之 以 自 旌 也 。 縱 子 忍 之 ， 後 必 或 恥 之 。 ”,榮駕 鵝 曰  “ 生 不 能 事 死  又 離 之 以 自 旌 也  縱 子 忍 之  後 必 或 恥 之  ”,榮駕鵝曰：“生不能事死，又離之以自旌也。縱子忍之，後必或恥之。”,0.9411764705882353,0.7272727272727272,0.9411764705882353,1.0,0.6844919786096256
乃止,乃 止 。,乃 止 ,乃止。,乃 止,乃 止,乃止,1.0,0.0,1.0,1.0,0.0
季孫問於榮駕鵝曰“吾欲為君謚使子孫知之”,季孫 問 於 榮駕鵝 曰 ： “ 吾 欲 為 君 謚 ， 使 子孫 知 之 。 ”,季孫 問 於 榮駕鵝 曰  “ 吾 欲 為 君 謚  使 子孫 知 之  ”,季孫問於榮駕鵝曰：“吾欲為君謚，使子孫知之。”,季孫 問 於 榮駕鵝 曰 ： “ 吾 欲 為 君 謚 ， 使 子孫 知 之 。 ”,季孫 問 於 榮駕鵝 曰  “ 吾 欲 為 君 謚  使 子孫 知 之  ”,季孫問於榮駕鵝曰：“吾欲為君謚，使子孫知之。”,1.0,1.0,1.0,1.0,1.0
對曰“生弗能事死又惡之以自信也將焉用之”,對 曰 ： “ 生 弗 能 事 ， 死 又 惡 之 ， 以 自信 也 。 將 焉 用 之 ？ ”,對 曰  “ 生 弗 能 事  死 又 惡 之  以 自信 也  將 焉 用 之  ”,對曰：“生弗能事，死又惡之，以自信也。將焉用之？”,對 曰 ： “ 生 弗 能 事 ， 死 又 惡 之 ， 以 自信 也 ， 將 焉 用 之 ？ ”,對 曰  “ 生 弗 能 事  死 又 惡 之  以 自信 也  將 焉 用 之  ”,對曰：“生弗能事，死又惡之，以自信也，將焉用之？”,1.0,0.8000000000000002,1.0,1.0,0.8000000000000002
乃止,乃 止 。,乃 止 ,乃止。,乃 止,乃 止,乃止,1.0,0.0,1.0,1.0,0.0
秋七月癸巳葬昭公於墓道南,秋 ， 七月 癸巳 ， 葬 昭公 於 墓道 南 。,秋  七月 癸巳  葬 昭公 於 墓道 南 ,秋，七月癸巳，葬昭公於墓道南。,秋 七 月 癸巳 ， 葬 昭公 於 墓道 南,秋 七 月 癸巳  葬 昭公 於 墓道 南,秋七月癸巳，葬昭公於墓道南,0.823529411764706,0.5,0.823529411764706,1.0,0.411764705882353
孔子之為司寇也溝而合諸墓,孔子 之 為 司寇 也 ， 溝 而 合 諸 墓 。,孔子 之 為 司寇 也  溝 而 合 諸 墓 ,孔子之為司寇也，溝而合諸墓。,孔子 之 為 司寇 也 ， 溝 而 合 諸 墓,孔子 之 為 司寇 也  溝 而 合 諸 墓,孔子之為司寇也，溝而合諸墓,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666
昭公出故季平子禱於煬公,昭公 出 故 ， 季平子 禱 於 煬公 。,昭公 出 故  季平子 禱 於 煬公 ,昭公出故，季平子禱於煬公。,昭公 出 ， 故 季平子 禱 於 煬公,昭公 出  故 季平子 禱 於 煬公,昭公出，故季平子禱於煬公,1.0,0.0,1.0,1.0,0.0
九月立煬宮,九月 ， 立 煬宮 。,九月  立 煬宮 ,九月，立煬宮。,九月 立 煬 宮,九月 立 煬 宮,九月立煬宮,0.5714285714285715,0.0,0.5714285714285715,1.0,0.0
周鞏簡公棄其子弟而好用遠人,周 鞏簡公 棄 其 子弟 而 好 用 遠人 。,周 鞏簡公 棄 其 子弟 而 好 用 遠人 ,周鞏簡公棄其子弟而好用遠人。,周 鞏簡公 棄 其 子弟 而 好 用 遠人,周 鞏簡公 棄 其 子弟 而 好 用 遠人,周鞏簡公棄其子弟而好用遠人,1.0,0.0,1.0,1.0,0.0
二年夏四月辛酉鞏氏之群子弟賊簡公,二年 ， 夏 ， 四月辛酉 ， 鞏氏 之 群 子弟 賊 簡公 。,二年  夏  四月辛酉  鞏氏 之 群 子弟 賊 簡公 ,二年，夏，四月辛酉，鞏氏之群子弟賊簡公。,二年 夏 四月 辛酉 ， 鞏氏 之 群 子弟 賊 簡公,二年 夏 四月 辛酉  鞏氏 之 群 子弟 賊 簡公,二年夏四月辛酉，鞏氏之群子弟賊簡公,0.8421052631578948,0.4,0.8421052631578948,1.0,0.33684210526315794
桐叛楚,桐 叛 楚 。,桐 叛 楚 ,桐叛楚。,桐 叛 楚,桐 叛 楚,桐叛楚,1.0,0.0,1.0,1.0,0.0
