original,gt_full,pred_full,seg_f1,punc_f1,punc_and_seg_f1,fidelity,osc
薛宰曰“薛之皇祖奚仲居薛以為夏車正奚仲遷于邳仲虺居薛以為湯左相若復舊職將承王官何故以役諸侯”,薛宰 曰 ： “ 薛 之 皇祖奚仲 居 薛 ， 以 為 夏車正 ， 奚仲 遷 于 邳 ， 仲虺 居 薛 ， 以 為 湯左相 。 若 復 舊職 ， 將 承 王官 ， 何 故 以 役 諸侯 ？ ”,薛宰  曰  “  薛  之  皇祖  奚仲  居  薛以  為  夏  車正  奚仲  遷  于邳    仲虺  居  薛以  為  湯  左相  若  復舊  職  將  承  王官  何  故  以  役  諸侯  ”  ？  。,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0
仲幾曰“三代各異物薛焉得有舊為宋役亦其職也”,仲幾 曰 ： “ 三代 各 異物 ， 薛 焉 得 有 舊 ？ 為 宋 役 ， 亦 其 職 也 。 ”,仲幾 曰 “ 三  代 各 異 物 薛  焉 得 有舊   為 宋 役  亦 其 職 也 ” ,0.7692307692307692,0.0,0.7692307692307692,1.0,0.0
士彌牟曰“晉之從政者新子姑受功歸吾視諸故府”,士彌牟 曰 ： “ 晉 之 從政 者 新 ， 子 姑 受功 ， 歸 ， 吾 視 諸 故府 。 ”,，。，士彌牟曰，。“晉之從政者新子姑受功歸吾視諸故府”：（），。，,0.0,0.0,0.0,1.0,0.0
仲幾曰“縱子忘之山川鬼神其忘諸乎”,仲幾 曰 ： “ 縱 子 忘 之 ， 山川 鬼神 其 忘 諸 乎 ？ ”,仲幾 曰 “縱  子 忘 之 山 川 鬼 神 其 忘 諸乎  ”,0.5714285714285714,0.0,0.5714285714285714,1.0,0.0
士伯怒謂韓簡子曰“薛徵於人宋徵於鬼宋罪大矣且己無辭而抑我以神誣我也‘啟寵納侮’其此之謂矣必以仲幾為戮”,士伯 怒 ， 謂 韓簡子 曰 ： “ 薛 徵 於 人 ， 宋 徵 於 鬼 。 宋 罪 大 矣 。 且 己 無辭 ， 而 抑 我 以 神 ， 誣 我 也 。 ‘ 啟 寵 納 侮 ’ ， 其 此 之 謂 矣 。 必 以 仲幾 為 戮 。 ”,士 伯 怒 謂 韓 簡 子 曰 “ 薛 徵 於 人 宋徵  於 鬼 宋 罪 大 矣 且 己 無 辭 而 抑 我 以 神誣  我 也 ‘ 啟寵  納 侮 ’ 其 此 之 謂 矣 必 以 仲 幾 為 戮 ”,0.7659574468085107,0.0,0.7659574468085107,1.0,0.0
乃執仲幾以歸,乃 執 仲幾 以 歸 。,乃執  仲幾 以歸  。,0.25,1.0,0.25,1.0,0.25
三月歸諸京師,三月 ， 歸 諸 京師 。,三月歸諸京師，。，。，，。，、，,0.0,0.6666666666666666,0.0,1.0,0.0
城三旬而畢乃歸諸侯之戍,城 三 旬 而 畢 ， 乃 歸 諸侯 之 戍 。,"：，""城三旬而畢乃歸諸侯之戍""。，。""""（），。""""，",0.0,0.6666666666666666,0.0,1.0,0.0
齊高張后不從諸侯,齊高張 后 ， 不 從 諸侯 。,齊 高 張 后 不 從 諸侯,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0
晉女叔寬曰“周萇弘齊高張皆將不免萇叔違天高子違人天之所壞不可支也眾之所為不可奸也”,晉 女叔寬 曰 ： “ 周萇弘 、 齊高張 皆 將 不 免 。 萇叔 違 天 ， 高子 違 人 。 天 之 所 壞 ， 不 可 支 也 ； 眾 之 所 為 ， 不 可 奸 也 。 ”,晉 女 叔寬  曰 “ 周萇  弘 齊 高 張 皆 將 不 免萇  叔 違 天 高 子 違 人 天 之 所 壞 不 可 支 也 眾 之 所 為 不 可 奸 也 ”,0.7605633802816901,0.0,0.7605633802816901,1.0,0.0
夏叔孫成子逆公之喪于乾侯,夏 ， 叔孫成子 逆 公 之 喪 于 乾侯 。,，：夏叔孫成子逆公之喪于乾侯。，。。，。，,0.0,0.6666666666666666,0.0,1.0,0.0
季孫曰“子家子亟言於我未嘗不中吾志也吾欲與之從政子必止之且聽命焉”,季孫 曰 ： “ 子家子 亟 言 於 我 ， 未嘗 不 中 吾 志 也 。 吾 欲 與 之 從政 ， 子 必 止 之 ， 且 聽命 焉 。 ”,季 孫 曰 “ 子 家 子 亟 言 於 我 未 嘗 不 中 吾 志 也 吾 欲 與 之 從 政 子 必 止 之 且 聽 命 焉 ”,0.7333333333333333,0.0,0.7333333333333333,1.0,0.0
子家子不見叔孫易几而哭,子家子 不 見 叔孫 ， 易 几 而 哭 。,，：子家子不見叔孫易几而哭。，。。，。，。，,0.0,0.6666666666666666,0.0,1.0,0.0
叔孫請見子家子,叔孫 請 見 子家子 。,叔孫請見子家子，。，。，，。，、，,0.0,1.0,0.0,1.0,0.0
子家子辭曰“羈未得見而從君以出君不命而薨羈不敢見”,子家子 辭 曰 ： “ 羈 未 得 見 ， 而 從 君 以 出 。 君 不 命 而 薨 ， 羈 不敢 見 。 ”,，：子家子辭曰“羈未得見而從君以出君不命而薨羈不敢見”。，。。，。，。：- ,0.0,0.0,0.0,1.0,0.0
叔孫使告之曰“公衍公為實使群臣不得事君若公子宋主社稷則群臣之愿也凡從君出而可以入者將唯子是聽子家氏未有後季孫愿與子從政此皆季孫之愿也使不敢以告”,叔孫 使 告 之 曰 ： “ 公衍 、 公為 實 使 群 臣 不 得 事 君 ， 若 公子宋 主 社稷 ， 則 群 臣 之 愿 也 。 凡 從 君 出 而 可以 入 者 ， 將 唯 子 是 聽 。 子家氏 未 有 後 ， 季孫 愿 與 子 從政 。 此 皆 季孫 之 愿 也 ， 使 不 敢 以 告 。 ”,叔 孫  使  告  之  曰  “  公  衍  公  為  實  使  群  臣  不  得  事  君  若  公  子  宋  主  社  稷  則  群  臣  之  愿  也  凡  從  君  出  而  可  以  入  者  將  唯  子  是  聽  子  家  氏  未  有  後  季  孫愿與子從政此皆季孫之愿也使不敢以告”  ,0.631578947368421,0.0,0.631578947368421,1.0,0.0
對曰“若立君則有卿士大夫與守龜在羈弗敢知若從君者則貌而出者入可也寇而出者行可也若羈也則君知其出也而未知其入也羈將逃也”,對 曰 ： “ 若 立 君 ， 則 有 卿士 、 大夫 與 守龜 在 ， 羈 弗 敢 知 。 若 從 君 者 ， 則 貌 而 出 者 ， 入 可 也 ； 寇 而 出 者 ， 行 可 也 。 若 羈 也 ， 則 君 知 其 出 也 ， 而 未 知 其 入 也 ， 羈 將 逃 也 。 ”,對 曰 “ 若 立 君 則 有 卿 士 大 夫 與 守 龜 在 羈 弗 敢 知 若 從 君 者 則 貌 而 出 者 入 可 也 寇 而 出 者 行 可 也 若 羈 也 則 君 知 其 出 也 而 未 知 其 入 也 羈 將 逃 也 ”,0.9217391304347826,0.0,0.9217391304347826,1.0,0.0
喪及壞隤公子宋先入從公者皆自壞隤反,喪 及 壞隤 ， 公子宋 先 入 ， 從 公 者 皆 自 壞隤 反 。,喪 及 壞 隤 公子 宋 先 入 從 公 者 皆 自 壞 隤 反,0.6896551724137931,0.0,0.6896551724137931,1.0,0.0
六月癸亥公之喪至自乾侯,六月癸亥 ， 公 之 喪 至 自 乾侯 。,，：六月癸亥公之喪至自乾侯。，。。，，，。，,0.0,0.6666666666666666,0.0,1.0,0.0
戊辰公即位,戊辰 ， 公 即位 。,，：戊辰公即位。，。，，。，。,0.0,0.6666666666666666,0.0,1.0,0.0
季孫使役如闞公氏將溝焉,季孫 使 役 如 闞公氏 ， 將 溝 焉 。,，：季孫使役如闞公氏將溝焉。，。，，。，,0.0,0.6666666666666666,0.0,1.0,0.0
榮駕鵝曰“生不能事死又離之以自旌也縱子忍之後必或恥之”,榮駕鵝 曰 ： “ 生 不 能 事 ， 死 又 離 之 ， 以 自 旌 也 。 縱 子 忍 之 ， 後 必 或 恥 之 。 ”,榮駕鵝  曰  “  生  不  能  事  死  又  離  之  以  自  旌  也縱    子  忍  之  後  必  或  恥  之  ”  ？,0.9387755102040817,0.0,0.9387755102040817,1.0,0.0
乃止,乃 止 。,乃 止,1.0,0.0,1.0,1.0,0.0
季孫問於榮駕鵝曰“吾欲為君謚使子孫知之”,季孫 問 於 榮駕鵝 曰 ： “ 吾 欲 為 君 謚 ， 使 子孫 知 之 。 ”,季 孫 問 於榮  駕 鵝 曰 “ 吾 欲 為 君 謚 使 子 孫 知 之 ”,0.6857142857142857,0.0,0.6857142857142857,1.0,0.0
對曰“生弗能事死又惡之以自信也將焉用之”,對 曰 ： “ 生 弗 能 事 ， 死 又 惡 之 ， 以 自信 也 。 將 焉 用 之 ？ ”,對 曰 “ 生 弗 能 事 死 又 惡 之 以 自 信 也 將 焉 用 之 ”,0.9230769230769231,0.0,0.9230769230769231,1.0,0.0
乃止,乃 止 。,乃 止,1.0,0.0,1.0,1.0,0.0
秋七月癸巳葬昭公於墓道南,秋 ， 七月 癸巳 ， 葬 昭公 於 墓道 南 。,，：秋七月癸巳葬昭公於墓道南。，。。，，，。，，,0.0,0.5,0.0,1.0,0.0
孔子之為司寇也溝而合諸墓,孔子 之 為 司寇 也 ， 溝 而 合 諸 墓 。,，：孔子之為司寇也溝而合諸墓。，。。，，，。，,0.0,0.6666666666666666,0.0,1.0,0.0
昭公出故季平子禱於煬公,昭公 出 故 ， 季平子 禱 於 煬公 。,，。，。：- 昭公：，，。- 出：，。- 故季平子禱於煬公：,0.4,0.0,0.0,1.0,0.0
九月立煬宮,九月 ， 立 煬宮 。,九月立煬宮，。，。，，。，（）、，-:、,0.0,0.6666666666666666,0.0,1.0,0.0
周鞏簡公棄其子弟而好用遠人,周 鞏簡公 棄 其 子弟 而 好 用 遠人 。,周 鞏 簡 公棄   其 子弟 而 好  用 遠 人 ,0.6,0.0,0.6,1.0,0.0
二年夏四月辛酉鞏氏之群子弟賊簡公,二年 ， 夏 ， 四月辛酉 ， 鞏氏 之 群 子弟 賊 簡公 。,，。，。：- 二年：，。- 夏四月：，，。- 辛酉鞏氏之群子弟賊簡公：，（,0.16666666666666666,0.0,0.0,1.0,0.0
桐叛楚,桐 叛 楚 。,桐 叛 楚 。,1.0,1.0,1.0,1.0,1.0
吳子使舒鳩氏誘楚人曰“以師臨我我伐桐為我使之無忌”,吳子 使 舒鳩氏 誘 楚人 ， 曰 ： “ 以 師 臨 我 ， 我 伐 桐 ， 為 我 使 之 無 忌 。 ”,，：吳子使舒鳩氏誘楚人曰“以師臨我我伐桐為我使之無忌”。，。。，，，。，，,0.0,0.0,0.0,1.0,0.0
秋楚囊瓦伐吳師于豫章,秋 ， 楚 囊瓦 伐 吳 ， 師 于 豫章 。,"：，""秋楚囊瓦伐吳師于豫章""。，：- ：""""，。- ：""""，""""（），""""",0.0,0.5,0.0,1.0,0.0
吳人見舟于豫章而潛師于巢,吳人 見 舟 于 豫章 ， 而 潛師 于 巢 。,"，。，。：""吳人""，，，。""見舟于豫章而潛師于巢""。""""，""""（），",0.0,0.5,0.0,1.0,0.0
冬十月吳軍楚師于豫章敗之,冬 ， 十月 ， 吳 軍 楚師 于 豫章 ， 敗 之 。,"：，""冬十月吳軍楚師于豫章敗之""。，：- ：""""（），。- ：""""，""""，",0.0,0.4,0.0,1.0,0.0
遂圍巢克之獲楚公子繁,遂 圍 巢 ， 克 之 ， 獲 楚公子繁 。,遂圍  巢 克 之 獲 楚 公子 繁,0.5333333333333333,0.0,0.5333333333333333,1.0,0.0
邾莊公與夷射姑飲酒私出,邾莊公 與 夷射姑 飲酒 ， 私 出 。,邾莊公與夷射姑飲酒私出，。，。，，。，，。，,0.0,0.6666666666666666,0.0,1.0,0.0
閽乞肉焉奪之杖以敲之,閽 乞 肉 焉 ， 奪 之 杖 以 敲 之 。,，。，。：- 閽：，（）。。- 乞肉焉奪之杖以敲之：，,0.16666666666666669,0.0,0.0,1.0,0.0
三年春二月辛卯邾子在門臺臨廷,三年 ， 春 ， 二月辛卯 ， 邾子 在 門臺 ， 臨 廷 。,，：三年春二月辛卯邾子在門臺臨廷。，。。，，，。，。,0.0,0.33333333333333337,0.0,1.0,0.0
閽以缾水沃廷邾子望見之怒,閽 以 缾 水 沃 廷 ， 邾子 望見 之 ， 怒 。,閽以缾，。，：水沃廷，邾子望見之怒。。，。，,0.0,0.6666666666666666,0.0,1.0,0.0
閽曰“夷射姑旋焉”,閽 曰 ： “ 夷射姑 旋 焉 。 ”,，。，。：閽，，，。曰，。，“夷射姑旋焉”,0.0,0.0,0.0,1.0,0.0
命執之,命 執 之 。,命執  之 。,0.4,1.0,0.4,1.0,0.4
弗得滋怒自投于床廢于爐炭爛遂卒,弗 得 ， 滋 怒 ， 自 投 于 床 ， 廢 于 爐炭 ， 爛 ， 遂 卒 。,弗得滋怒自投于床廢于爐炭爛遂卒。,0.0,0.2857142857142857,0.0,1.0,0.0
先葬以車五乘殉五人,先 葬 以 車 五 乘 ， 殉 五 人 。,"：，""先葬以車五乘殉五人""。，。。""""（），。""""",0.0,0.6666666666666666,0.0,1.0,0.0
莊公卞急而好潔故及是,莊公 卞急 而 好潔 ， 故 及 是 。,莊公 卞 急 而 好 潔 故 及 是,0.6250000000000001,0.0,0.6250000000000001,1.0,0.0
定公秋九月鮮虞人敗晉師于平中獲晉觀虎恃其勇也,定公 秋 ， 九月 ， 鮮虞人 敗 晉師 于 平中 ， 獲 晉 觀虎 ， 恃 其 勇 也 。,定公 秋 九月 鮮虞人 敗 晉師 于 平中 獲 晉 觀虎 恃 其 勇 也,1.0,0.0,1.0,1.0,0.0
冬盟于郯修邾好也,冬 ， 盟 于 郯 ， 修 邾 好 也 。,冬 盟 于 郯 修 邾 好 也,1.0,0.0,1.0,1.0,0.0
蔡昭侯為兩佩與兩裘以如楚獻一佩一裘於昭王,蔡昭侯 為 兩 佩 與 兩 裘 以 如 楚 ， 獻 一 佩 一 裘 於 昭王 。,蔡 昭侯為  兩 佩 與 兩 裘 以 如 楚 獻 一 佩 一 裘 於 昭王,0.8823529411764706,0.0,0.8823529411764706,1.0,0.0
昭王服之以享蔡侯,昭王 服 之 ， 以 享 蔡侯 。,昭王服之以享蔡侯，。，。，，。，、，,0.0,0.6666666666666666,0.0,1.0,0.0
蔡侯亦服其一,蔡侯 亦 服 其 一 。,蔡侯  亦  服  其  一 ,1.0,0.0,1.0,1.0,0.0
子常欲之弗與三年止之,子常 欲 之 ， 弗 與 ， 三 年 止 之 。,子 常 欲 之  弗 與  三 年 止 之 ,0.8421052631578948,0.0,0.8421052631578948,1.0,0.0
唐成公如楚有兩肅爽馬子常欲之弗與亦三年止之,唐成公 如 楚 ， 有 兩 肅爽 馬 ， 子常 欲 之 ， 弗 與 ， 亦 三 年 止 之 。,唐 成 公  如 楚  有 兩 肅 爽 馬  子 常 欲 之  弗 與  亦 三 年 止 之 ,0.7368421052631577,0.0,0.7368421052631577,1.0,0.0
唐人或相與謀請代先從者許之,唐人 或 相與 謀 ， 請 代 先 從者 ， 許 之 。,，：唐人或相與謀請代先從者許之。，。。，。，。：- ,0.0,0.5,0.0,1.0,0.0
飲先從者酒醉之竊馬而獻之子常,飲 先 從者 酒 ， 醉 之 ， 竊 馬 而 獻 之 子常 。,飲 先 從 者 酒  醉 之 竊 馬 而 獻 之 子 常 ,0.7692307692307692,0.0,0.7692307692307692,1.0,0.0
子常歸唐侯,子常 歸 唐侯 。,，：子常歸唐侯。，。：- ，，，（,0.0,1.0,0.0,1.0,0.0
自拘於司敗曰“君以弄馬之故隱君身棄國家群臣請相夫人以償馬必如之”,自拘 於 司敗 ， 曰 ： “ 君 以 弄馬 之 故 ， 隱 君 身 ， 棄 國家 。 群 臣 請 相 夫 人 以 償 馬 ， 必 如 之 。 ”,自 拘 於 司敗  曰 “ 君 以 弄 馬 之 故 隱 君 身棄  國 家 群 臣 請 相 夫 人 以償馬   必 如 之 ”,0.7142857142857143,0.0,0.7142857142857143,1.0,0.0
唐侯曰“寡人之過也二三子無辱”,唐侯 曰 ： “ 寡人 之 過 也 。 二三子 無 辱 ！ ”,"：，：，""唐侯曰“""，。""寡人之過也二三子無辱”""，。：- """" （），。- """"",0.0,0.0,0.0,1.0,0.0
皆賞之,皆 賞 之 。,皆 賞 之,1.0,0.0,1.0,1.0,0.0
蔡人聞之固請而獻佩于子常,蔡人 聞 之 ， 固 請 ， 而 獻 佩 于 子常 。,，：蔡人聞之固請而獻佩于子常。，。。，。，。，，,0.0,0.5,0.0,1.0,0.0
子常朝見蔡侯之徒命有司曰“蔡君之久也官不共也明日禮不畢將死”,子常 朝 ， 見 蔡侯 之 徒 ， 命 有司 曰 ： “ 蔡君 之 久 也 ， 官 不 共 也 。 明日 禮 不 畢 ， 將 死 。 ”,，。，。，，。，、，。，。：子常朝見蔡侯之徒命有司曰“蔡君之久也官不共也明日禮不畢將死”,0.0,0.0,0.0,1.0,0.0
蔡侯歸及漢執玉而沈曰“餘所有濟漢而南者有若大川”,蔡侯 歸 ， 及 漢 ， 執 玉 而 沈 ， 曰 ： “ 餘 所 有 濟 漢 而 南 者 ， 有若 大川 ！ ”,蔡侯歸  及 漢執   玉 而 沈 曰 “ 餘  所 有濟漢   而 南 者  有 若 大 川 ” ,0.6,0.0,0.6,1.0,0.0
蔡侯如晉以其子元與其大夫之子為質焉而請伐楚,蔡侯 如 晉 ， 以 其 子 元 與 其 大夫 之 子 為 質 焉 ， 而 請 伐 楚 。,蔡侯  如  晉  以  其  子  元  與  其  大夫  之  子  為  質  焉  而  請  伐  楚  。,1.0,0.5,1.0,1.0,0.5
四年春三月劉文公合諸侯于召陵謀伐楚也,四年 ， 春 ， 三月 ， 劉文公 合 諸侯 于 召陵 ， 謀 伐 楚 也 。,，。，《》。：四年春三月劉文公合諸侯于召陵謀伐楚也。：- ：，。、、、、,0.0,0.33333333333333337,0.0,1.0,0.0
晉荀寅求貨於蔡侯弗得言於范獻子曰“國家方危諸侯方貳將以襲敵不亦難乎水潦方降疾瘧方起中山不服棄盟取怨無損於楚而失中山不如辭蔡侯吾自方城以來楚未可以得志只取勤焉”,晉荀寅 求 貨 於 蔡侯 ， 弗 得 ， 言 於 范獻子 曰 ： “ 國家 方 危 ， 諸侯 方 貳 ， 將 以 襲 敵 ， 不 亦 難 乎 ！ 水潦 方 降 ， 疾瘧 方 起 ， 中山 不 服 ， 棄 盟 取 怨 ， 無 損 於 楚 ， 而 失 中山 ， 不如 辭 蔡侯 。 吾 自 方城 以來 ， 楚 未 可以 得志 ， 只 取 勤 焉 。 ”,晉 荀寅 求 貨 於 蔡侯  弗 得言   於 范 獻子 曰 “ 國家 方 危  諸侯 方 貳  將 以 襲 敵  不 亦 難乎   水 潦 方 降  疾 瘧 方 起  中山 不 服棄   盟 取 怨  無 損 於 楚  而 失 中山  不 如 辭 蔡侯  吾 自 方城       以來楚未可以 得 志  只 取 勤 焉 ” ,0.7419354838709677,0.0,0.7419354838709677,1.0,0.0
乃辭蔡侯,乃 辭 蔡侯 。,乃辭  蔡侯,0.4,0.0,0.4,1.0,0.0
晉人假羽旄於鄭鄭人與之,晉人 假 羽旄 於 鄭 ， 鄭人 與 之 。,晉人假羽旄於鄭鄭人與之，。，。，，。，、，。,0.0,0.6666666666666666,0.0,1.0,0.0
明日或旆以會,明日 ， 或 旆 以 會 。,明日或旆以會。,0.0,0.6666666666666666,0.0,1.0,0.0
晉於是乎失諸侯,晉 於是乎 失 諸侯 。,晉於，。是乎失諸侯，。，，。，、，,0.0,0.6666666666666666,0.0,1.0,0.0
將會衛子行敬子言於靈公曰“會同難嘖有煩言莫之治也其使祝佗從”,將 會 ， 衛子行敬子 言 於 靈公 曰 ： “ 會 同 難 ， 嘖 有 煩言 ， 莫 之 治 也 。 其 使 祝佗 從 ！ ”,將 會衛  子 行 敬 子 言 於靈  公 曰 “ 會 同 難嘖  有 煩 言 莫 之 治 也 其 使 祝 佗 從 ”,0.6,0.0,0.6,1.0,0.0
公曰“善”,公 曰 ： “ 善 。 ”,公曰“善”，。，。，，。，（）、，-:、,0.0,0.0,0.0,1.0,0.0
乃使子魚,乃 使 子魚 。,乃 使 子魚 。,1.0,1.0,1.0,1.0,1.0
子魚辭曰“臣展四體以率舊職猶懼不給而煩刑書若又共二徼大罪也且夫祝社稷之常隸也社稷不動祝不出竟官之制也君以軍行祓社釁鼓祝奉以從於是乎出竟若嘉好之事君行師從卿行旅從臣無事焉”,子魚 辭 ， 曰 ： “ 臣 展 四體 ， 以 率 舊職 ， 猶 懼 不 給 而 煩 刑書 。 若 又 共 二 ， 徼 大 罪 也 。 且夫 祝 ， 社稷 之 常隸 也 。 社稷 不 動 ， 祝 不 出 竟 ， 官 之 制 也 。 君 以 軍 行 ， 祓社 釁鼓 ， 祝 奉 以 從 ， 於是乎 出 竟 。 若 嘉好 之 事 ， 君 行 師 從 ， 卿 行 旅 從 ， 臣 無事 焉 。 ”,子 魚 辭 曰 “ 臣 展 四 體 以 率 舊 職 猶 懼 不 給 而 煩 刑 書 若 又 共 二徼  大 罪 也 且 夫 祝 社 稷 之 常 隸 也 社 稷 不 動 祝 不 出 竟 官 之 制 也 君 以軍  行 祓 社 釁 鼓 祝 奉 以 從於  是 乎 出 竟 若 嘉 好 之 事 君 行 師 從 卿 行 旅 從 臣 無 事焉”,0.6754966887417218,0.0,0.6754966887417218,1.0,0.0
公曰“行也”,公 曰 ： “ 行 也 。 ”,公曰“行也”，。，。，，。，（）、，-:、。,0.0,0.0,0.0,1.0,0.0
及皋鼬將長蔡於衛,及 皋鼬 ， 將 長 蔡 於 衛 。,及 皋鼬 將 長 蔡 於衛 ,0.7692307692307692,0.0,0.7692307692307692,1.0,0.0
衛侯使祝佗私於萇弘曰“聞諸道路不知信否若聞蔡將先衛信乎”,衛侯 使 祝佗 私 於 萇弘 曰 ： “ 聞 諸 道路 ， 不 知 信 否 。 若 聞 蔡 將 先 衛 ， 信 乎 ？ ”,衛侯使祝佗私於萇弘曰“聞諸道路不知信否若聞蔡將先衛信乎”,0.0,0.0,0.0,1.0,0.0
萇弘曰“信蔡叔康叔之兄也先衛不亦可乎”,萇弘 曰 ： “ 信 。 蔡叔 ， 康叔 之 兄 也 ， 先 衛 ， 不 亦 可 乎 ？ ”,，。，萇弘曰，（），。，“信，，，。蔡叔康叔之兄也先衛不亦可乎”,0.0,0.25,0.0,1.0,0.0
